id,title_t,description_t,image_t,overall_rating_t,other_id_t
1,Clara Callan,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Vestibulum odio magna,sagittis vel rhoncus a,molestie sed nulla.",http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg,4,2005018
2,Decision in Normandy,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Vestibulum odio magna,sagittis vel rhoncus a,molestie sed nulla.",http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg,4,60973129
3,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Vestibulum odio magna,sagittis vel rhoncus a,molestie sed nulla.",http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,4,374157065
4,The Mummies of Urumchi,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Vestibulum odio magna,sagittis vel rhoncus a,molestie sed nulla.",http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg,4,393045218
5,The Kitchen God's Wife,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Vestibulum odio magna,sagittis vel rhoncus a,molestie sed nulla.",http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,4,399135782
6,What If?: The World's Foremost Military Historians Imagine What Might Have Been,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Vestibulum odio magna,sagittis vel rhoncus a,molestie sed nulla.",http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,4,425176428
7,PLEADING GUILTY,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Vestibulum odio magna,sagittis vel rhoncus a,molestie sed nulla.",http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg,4,671870432
8,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Vestibulum odio magna,sagittis vel rhoncus a,molestie sed nulla.",http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg,4,679425608
9,Nights Below Station Street,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Vestibulum odio magna,sagittis vel rhoncus a,molestie sed nulla.",http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,4,771074670
10,The Middle Stories,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Vestibulum odio magna,sagittis vel rhoncus a,molestie sed nulla.",http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg,4,887841740
